mol_id,smiles,mw,logp,hbd,hba,rtb,tpsa,has_pains,passed_lipinski,is_valid,passed_filter
CHEMBL17_div,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,305.16,0.29,2,4,2,120.32,False,True,True,True
CHEMBL18116_div,Cc1cccc(N2CC(CO)OC2=O)c1,207.23,1.31,1,3,2,49.77,False,True,True,True
CHEMBL18442_div,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,502.8,0.42,6,8,4,78.66,False,False,True,False
CHEMBL18901_div,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,341.41,3.73,2,3,6,75.63,False,True,True,True
CHEMBL18_div,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32,1.34,1,5,3,82.28,False,True,True,True
CHEMBL19019_div,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,341.41,1.53,2,5,2,70.0,False,True,True,True
CHEMBL19224_div,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,339.39,3.86,0,5,6,49.81,False,True,True,True
CHEMBL19236_div,COc1nc(C)nc(Cl)c1NC1=NCCN1,241.68,0.82,2,6,2,71.43,False,True,True,True
CHEMBL19299_div,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,246.31,2.79,1,2,4,54.37,False,True,True,True
CHEMBL19393_div,C[C@@H](N)Cc1ccccc1,135.21,1.58,1,1,2,26.02,False,True,True,True
CHEMBL19449_div,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,230.31,3.3,0,2,3,34.37,False,True,True,True
CHEMBL19490_div,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,291.73,2.85,1,2,4,59.3,False,True,True,True
CHEMBL19612_div,NCCCCNCCCN,145.25,-0.34,3,3,7,64.07,False,True,True,True
CHEMBL19_div,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,236.28,-1.42,1,5,1,107.41,False,True,True,True
CHEMBL204021_div,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,666.78,7.22,0,5,13,58.44,False,False,True,False
CHEMBL20835_div,CC(=O)OC1CN2CCC1CC2,169.22,0.64,0,3,1,29.54,False,True,True,True
