mol_id,smiles,vina_score,status
CHEMBL285674_div,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,-3.852,ok
CHEMBL36_div,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-3.843,ok
CHEMBL434200_div,CC(C)(C)NCC(O)COc1cccc2c1SCCC2,-3.842,ok
CHEMBL141_div,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,-3.828,ok
CHEMBL13_div,COCCc1ccc(OCC(O)CNC(C)C)cc1,-3.813,ok
CHEMBL419_div,NCc1ccc(S(N)(=O)=O)cc1,-3.792,ok
CHEMBL4097287,Cc1c(CO)cccc1-c1cccc(O)c1,-3.784,ok
CHEMBL301742_div,NC[C@H](CC(=O)O)c1ccc(Cl)cc1,-3.776,ok
CHEMBL10878_div,COc1ccc2cccc(CCNC(C)=O)c2c1,-3.767,ok
CHEMBL20883_div,O=c1[nH]c(=O)n(C2CCCO2)cc1F,-3.766,ok
CHEMBL14370_div,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,-3.744,ok
CHEMBL20_div,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-3.736,ok
CHEMBL25_div,CC(=O)Oc1ccccc1C(=O)O,-3.735,ok
CHEMBL21333_div,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,-3.725,ok
CHEMBL28333_div,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,-3.716,ok
CHEMBL13280_div,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,-3.716,ok
CHEMBL106_div,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-3.712,ok
CHEMBL130_div,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-3.711,ok
CHEMBL131_div,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-3.706,ok
CHEMBL36633_div,NC(=O)CN1CC(O)CC1=O,-3.699,ok
CHEMBL19490_div,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,-3.698,ok
CHEMBL415_div,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,-3.687,ok
CHEMBL1612963,Cc1nc2cc(-c3ccccc3)ccc2o1,-3.659,ok
CHEMBL108_div,NC(=O)N1c2ccccc2C=Cc2ccccc21,-3.656,ok
CHEMBL128_div,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,-3.638,ok
CHEMBL291962_div,CC(C)C[C@H](N)C(=O)O,-3.633,ok
CHEMBL28318_div,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,-3.633,ok
CHEMBL1369722,Oc1ncnc2scc(-c3ccccc3)c12,-3.632,ok
CHEMBL290960_div,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,-3.628,ok
CHEMBL4079264,Cc1c(CO)cccc1-c1cccnc1,-3.618,ok
CHEMBL4104993,Cc1c(CO)cccc1-c1cccc(Cl)n1,-3.6,ok
CHEMBL274323_div,N[C@@H](CC(=O)O)C(=O)O,-3.598,ok
